name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,3604,151,104,27,85,0,0,5,12.31
Buzzwole,3786,191,143,31,100,0,0,0,12.35
Charizard,3434,175,85,25,65,0,0,0,0.00
Cinderace,3125,151,60,25,36,0,0,0,16.8
Decidueye,3112,143,60,27,36,0,0,0,15.73
Dragonite,3295,169,96,25,73,0,0,0,11.04
Duraludon,3282,178,97,32,67,0,0,0,24.53
Garchomp,3295,163,110,25,82,0,0,0,12.34
Greninja,3112,162,60,25,36,0,0,0,15.73
Lucario,3721,192,114,31,88,0,0,0,13.53
Machamp,3480,181,119,25,77,0,0,0,11.04
Tsareena,3529,185,113,30,91,0,0,0,14.08
Tyranitar,3420,168,111,25,85,0,0,0,11.04
Blastoise,3568,157,126,68,88,0,0,0,11.04
Blissey,4467,162,69,138,102,0,0,0,11.76
Crustle,4469,205,182,36,125,0,0,0,13.54
Eldegoss,4114,162,69,152,52,0,0,0,11.76
Glaceon,3758,36,60,238,44,0,0,0,25.93
Greedent,3469,183,103,27,84,0,0,0,11.54
Hoopa,3823,151,99,109,67,0,0,0,13.53
Mamoswine,3611,178,107,25,81,0,0,0,11.04
Snorlax,4077,195,154,31,114,0,0,0,13.53
Sylveon,4068,201,89,162,65,0,0,0,15.31
Trevenant,3739,187,132,27,97,0,0,0,11.54
Wigglytuff,4372,162,169,131,151,0,0,0,11.77
Absol,3353,223,76,31,53,0,0,0,12.35
Aegislash,3225,178,60,25,42,0,0,0,18.57
Talonflame,3195,225,70,25,48,0,0,0,11.56
Zeraora,3393,216,88,31,59,0,0,0,12.35
Cramorant,3647,151,88,132,59,0,0,0,14.71
Delphox,3605,150,49,168,39,0,0,0,11.53
Espeon,3753,161,60,218,46,0,0,0,10.00
Gardevoir,3363,142,42,100,33,0,0,0,10.00
Gengar,3651,177,63,113,46,0,0,0,11.56
Mew,3677,150,71,205,66,0,0,0,11.18
Pikachu,3646,153,51,156,40,0,0,0,10.00
Venusaur,3457,142,42,98,33,0,0,0,10.52
Mr. Mime,3953,167,111,93,96,0,5,0,12.35
Slowbro,4318,175,132,114,114,0,5,0,13.54
Ninetales,3747,161,60,219,46,0,5,0,13.54
